Position;Photo;Name;Details;Academy;Points;Kimono;Category;Gender;Belt;Division
1;https://api.ibjjfdb.com/Athletes/58697/RankingPhoto;Michael Jalen B. Fonacier;https://ibjjf.com/athletes/michael-fonacier;Alliance Los Angeles;285;ranking-geral-gi;adult;male;black;rooster
2;https://api.ibjjfdb.com/Athletes/42049/RankingPhoto;Samuel David Marquez;https://ibjjf.com/athletes/samuel-marquez;Fabio Santos BJJ;208;ranking-geral-gi;adult;male;black;rooster
3;https://api.ibjjfdb.com/Athletes/88234/RankingPhoto;Carlos Alberto Oliveira da Silva;https://ibjjf.com/athletes/carlos-silva-08a7e43a3669;GF Team California;204;ranking-geral-gi;adult;male;black;rooster
4;https://api.ibjjfdb.com/Athletes/212988/RankingPhoto;Lucas de Souza Castro;https://ibjjf.com/athletes/lucas-castro-bd7e9e261a9b;Gracie Barra Capivari SP;156;ranking-geral-gi;adult;male;black;rooster
5;https://api.ibjjfdb.com/Athletes/128358/RankingPhoto;Thalison Vitorino Soares;https://ibjjf.com/athletes/thalison-soares-4b85cd0d60b5;AOJ - Europe;150;ranking-geral-gi;adult;male;black;rooster
6;https://api.ibjjfdb.com/Athletes/291756/RankingPhoto;Everton Celio de Souza Teixeira;https://ibjjf.com/athletes/everton-teixeira;Atos Atlanta BJJ;135;ranking-geral-gi;adult;male;black;rooster
7;https://api.ibjjfdb.com/Athletes/428029/RankingPhoto;Kai Takasugi;https://ibjjf.com/athletes/kai-takasugi;Alma Fight Gym Homies;99;ranking-geral-gi;adult;male;black;rooster
8;https://api.ibjjfdb.com/Athletes/192537/RankingPhoto;Yuri Hendrex Assunção Soares;https://ibjjf.com/athletes/yuri-soares;Melqui Galvão Jiu-Jitsu;96;ranking-geral-gi;adult;male;black;rooster
8;https://api.ibjjfdb.com/Athletes/172783/RankingPhoto;Yuri da Silva Campos;https://ibjjf.com/athletes/yuri-campos;Brothers Club;96;ranking-geral-gi;adult;male;black;rooster
10;https://api.ibjjfdb.com/Athletes/31144/RankingPhoto;Koji Shibamoto;https://ibjjf.com/athletes/koji-shibamoto;Tri-Force Jiu-Jitsu Academy;87;ranking-geral-gi;adult;male;black;rooster
11;https://api.ibjjfdb.com/Athletes/172041/RankingPhoto;Weslei Kellisson Silva Costa;https://ibjjf.com/athletes/weslei-costa;Amazon School - Escola de Jiu Jitsu;81;ranking-geral-gi;adult;male;black;rooster
11;https://api.ibjjfdb.com/Athletes/623215/RankingPhoto;Omar Ali Saeed Salem Alsuwaidi;https://ibjjf.com/athletes/omar-alsuwaidi;UAE Jiu-Jitsu Team;81;ranking-geral-gi;adult;male;black;rooster
11;https://api.ibjjfdb.com/Athletes/194084/RankingPhoto;Mitsuhiro Shinoda;https://ibjjf.com/athletes/mitsuhiro-shinoda;Tri-Force Jiu-Jitsu Academy;81;ranking-geral-gi;adult;male;black;rooster
14;https://api.ibjjfdb.com/Athletes/229572/RankingPhoto;Santiago Guerra;https://ibjjf.com/athletes/santiago-guerra;GF Team Texas;72;ranking-geral-gi;adult;male;black;rooster
14;https://api.ibjjfdb.com/Athletes/238841/RankingPhoto;Rodrigo Otavio Ferreira de Oliveira;https://ibjjf.com/athletes/rodrigo-oliveira-aff558736cf7;White House Jiu-Jitsu School;72;ranking-geral-gi;adult;male;black;rooster
